,RQ_1_2_PAT_PChg,RQ_1_2_Operating_Profit_PChg,RQ_1_2_Total_Exp_PChg,RQ_1_2_Ebit_PChg,RQ_1_2_Ebitda_PChg,RQ_1_2_Close_PChg,RQ_2_3_PAT_PChg,RQ_2_3_Operating_Profit_PChg,RQ_2_3_Total_Exp_PChg,RQ_2_3_Ebit_PChg,RQ_2_3_Ebitda_PChg,RQ_2_3_Close_PChg,RQ_3_4_PAT_PChg,RQ_3_4_Operating_Profit_PChg,RQ_3_4_Total_Exp_PChg,RQ_3_4_Ebit_PChg,RQ_3_4_Ebitda_PChg,RQ_3_4_Close_PChg,RQ_4_5_PAT_PChg,RQ_4_5_Operating_Profit_PChg,RQ_4_5_Total_Exp_PChg,RQ_4_5_Ebit_PChg,RQ_4_5_Ebitda_PChg,RQ_4_5_Close_PChg
IDEA,-148.44902749832326,-54.86883059137395,11.391486273002869,169.51987406532862,-54.167987321711564,-21.805006587615285,-16.4822853942025,21.469079125033755,-11.300889982957777,-48.7753250680375,39.35512367491166,-29.819694868238557,15.47542043984477,-20.547847232155625,-11.257120771647982,53.67100371747212,-21.202840038980924,39.63847643641059,34.02687472908539,-21.770268002014205,-5.040850194676717,185.41114058355438,-20.09122260540661,-9.14956011730205
ANTGRAPHIC,25.000000000000007,55.55555555555558,-21.621621621621625,25.000000000000007,27.27272727272728,,14.285714285714276,-10.000000000000009,57.446808510638306,14.285714285714276,9.999999999999995,,250.0,42.85714285714285,34.285714285714285,250.0,42.85714285714285,,-50.0,-12.499999999999993,-2.7777777777777803,-50.0,-12.499999999999993,
ADSL,-64.84848484848484,11.200000000000003,-23.125884016973135,-0.2597402597402657,-0.6839945280437733,-18.434343434343443,63.36633663366336,-9.942363112391936,32.76995305164319,-21.26789366053169,-15.491329479768796,inf,74.13793103448278,-14.426633785450052,2.0114942528735713,-2.2000000000000064,-2.2598870056497096,-100.0,-9.375000000000009,-2.2891566265060392,11.063829787234033,13.122171945701359,-4.940923737916228,inf
SHEMAROO,1.7111222949169596,3.3978044955567284,-7.431584232990211,2.7852169255490065,2.823102823102832,-8.10626037698994,10.205213533000553,6.7224546722454575,-14.874973284889936,7.298850574712662,7.012195121951223,21.243339253996446,22.320217096336506,13.020176544766718,-1.5361952861952946,12.47575953458305,11.980136561142146,17.389491242702256,-12.522255192878346,-6.485849056603782,38.90675241157557,-8.677685950413226,-8.205128205128212,-2.7443558199270064
HEXAWARE,19.500796601168346,21.261682242990656,6.113129216398552,19.696053881357397,18.15974941268597,21.573570386095252,-4.231512562302916,-7.907477138246375,11.027886609817946,4.061461047713178,3.091951239202388,10.626742991340098,-14.624402952670431,-14.646464646464647,-5.1342783223408635,-19.49508101851852,-17.858090185676396,26.236798221233997,9.095215537659886,8.872781804548866,4.9967479052683945,5.849923430321604,7.246995235047292,11.393188854489173
ROSSELLIND,-81.4538043478261,-115.36088834053055,-23.484424547659014,-100.64864864864866,-116.10223642172525,-19.11764705882353,-309.0909090909091,-233.52553542009886,-18.661811561219842,-278.5714285714286,-223.71541501976284,-22.302158273381302,-43.94904458598726,-33.22332233223322,96.86379928315412,-37.66546329723226,-32.92682926829268,17.679282868525895,-370.6896551724138,-2142.696629213483,4.1044776119403,-671.1340206185567,-3141.935483870968,0.7021063189568734
ADHUNIK,-30.971128608923888,-24.762808349146106,23.728813559322028,-27.634194831013918,-25.409836065573778,-4.347826086956532,364.63414634146346,85.56338028169014,4.216524216524222,108.71369294605809,91.28919860627178,-43.90243902439025,446.6666666666667,11.811023622047237,-2.5232087598190964,13.679245283018867,11.24031007751938,48.192771084337345,114.28571428571426,33.6842105263158,60.05842011684025,40.8637873754153,31.29770992366412,-29.059829059829053
LINCOLN,-35.39982030548068,-43.206521739130444,5.424063116370804,-45.845967252880534,-42.55441008018328,-10.229909301835056,12.084592145015115,13.317936874518862,-16.256022023399865,13.489332415691665,9.811320754716984,47.465007776049774,120.66666666666666,123.19587628865978,-10.716480275285729,95.822102425876,89.73747016706443,-13.178503915743994,84.42622950819673,-14.787701317715957,0.2217021800714458,45.20547945205479,36.92810457516341,-21.480067854113656
DREDGECORP,-83.34307422559907,-16.431684183542675,-5.705494505494501,-69.9248120300752,-37.38060249816311,-12.821394788889856,-175.97690941385434,443.3147632311978,0.8958665957069409,-253.99146861669712,435.82677165354335,-31.89059388543985,-221.14039806347498,-86.03656164916374,2.6495493034689943,-168.80503144654088,-80.80120937263796,54.950539976404386,368.26196473551636,37.744441467988224,-8.937899013348812,156.4516129032258,40.48314308468277,-10.639850782580474
GTL,-88.46830747569923,-197.58768889505058,-35.378534508969295,-69.71811990019556,-220.45163356822547,-41.228070175438596,-9488.154550076259,-125.34167164388856,39.16784203102963,-300.28363047001613,-118.76145548511164,-33.91304347826087,-142.45629181955536,392.439446366782,67.64399886503357,433.04535637149024,288.3883767067336,16.161616161616166,518.558077436582,-45.166492742624044,38.69867506231142,-61.41130712598971,-37.51640659180399,16.470588235294116
