SYMBOL,HIGH,LOW,CLOSE,R1,R2,PIVOT,S1,S2,%,>.6%,TOTTRDQTY,TOTTRDVAL,BUY,SELL
STRTECH,351.8,338.35,341.55,349.45,357.35,343.9,336,330.45,-0.68333818,SELL,2359768,814140605,342.55,342.9
CADILAHC,414.75,402.85,409.2,415.0166667,420.8333333,408.9333333,403.1166667,397.0333333,0.065210303,SKIP,2314175,945653985.9,410.2,407.9333333
KPIT,249.5,244.75,247.6,249.8166667,252.0333333,247.2833333,245.0666667,242.5333333,0.128058233,SKIP,2203076,545501943,248.6,246.2833333
RAIN,329.5,314,318.2,327.1333333,336.0666667,320.5666667,311.6333333,305.0666667,-0.73827597,SELL,2114728,675710649.9,319.2,319.5666667
MOTHERSUMI,356.75,352.25,353.9,356.35,358.8,354.3,351.85,349.8,-0.112898673,SKIP,2059253,729923708.1,354.9,353.3
TATAMTRDVR,189.15,184.4,184.95,187.9333333,190.9166667,186.1666667,183.1833333,181.4166667,-0.653536258,SELL,2004179,372944331.2,185.95,185.1666667
INDHOTEL,152,145,146.8,150.8666667,154.9333333,147.9333333,143.8666667,140.9333333,-0.766110861,SELL,1961391,290765561.5,147.8,146.9333333
BOMDYEING,285.5,274.1,278.85,284.8666667,290.8833333,279.4833333,273.4666667,268.0833333,-0.226608623,SKIP,1913774,537056692.9,279.85,278.4833333
DCMSHRIRAM,373.95,302,325.55,365.6666667,405.7833333,333.8333333,293.7166667,261.8833333,-2.481278083,SKIP,1911608,628895635.2,326.55,332.8333333
JETAIRWAYS,623.9,612.6,620.1,625.1333333,630.1666667,618.8666667,613.8333333,607.5666667,0.199289023,SKIP,1896248,1174170124,621.1,617.8666667
PRAKASH,212,202.05,209.6,213.7166667,217.8333333,207.8833333,203.7666667,197.9333333,0.825783693,BUY,1887580,389721358.6,210.6,206.8833333
CASTROLIND,195.65,191.6,192.4,194.8333333,197.2666667,193.2166667,190.7833333,189.1666667,-0.422668852,SKIP,1879381,362015236.5,193.4,192.2166667
BANDHANBNK,501.4,491.1,495,500.5666667,506.1333333,495.8333333,490.2666667,485.5333333,-0.168067227,SKIP,1878261,932215805.1,496,494.8333333
RELCAPITAL,429.5,422.6,426.55,429.8333333,433.1166667,426.2166667,422.9333333,419.3166667,0.078207484,SKIP,1820076,775123140.6,427.55,425.2166667
TAKE,223,211,219.65,224.7666667,229.8833333,217.8833333,212.7666667,205.8833333,0.810831485,BUY,1813116,397441963.7,220.65,216.8833333
OIL,238.4,232.5,235.15,238.2,241.25,235.35,232.3,229.45,-0.084979817,SKIP,1805405,424955021.3,236.15,234.35
AUROPHARMA,636.9,625,629.3,635.8,642.3,630.4,623.9,618.5,-0.174492386,SKIP,1731784,1093326256,630.3,629.4
JMFINANCIL,137.3,125.7,135.3,139.8333333,144.3666667,132.7666667,128.2333333,121.1666667,1.908109465,SKIP,1721217,230431115.3,136.3,131.7666667
TORNTPOWER,241,232.3,237.65,241.6666667,245.6833333,236.9833333,232.9666667,228.2833333,0.281313735,SKIP,1673348,396137859.2,238.65,235.9833333
GSFC,132.5,128.45,128.95,131.4833333,134.0166667,129.9666667,127.4333333,125.9166667,-0.782251859,SELL,1624824,211945797.7,129.95,128.9666667
HEXAWARE,436.7,425.4,428.9,435.2666667,441.6333333,430.3333333,423.9666667,419.0333333,-0.333075136,SKIP,1606219,690382905.7,429.9,429.3333333
NIITLTD,116.4,111.3,113.05,115.8666667,118.6833333,113.5833333,110.7666667,108.4833333,-0.469552458,SKIP,1603516,182098271.3,114.05,112.5833333
JUSTDIAL,445.5,431.05,443.1,448.7166667,454.3333333,439.8833333,434.2666667,425.4333333,0.731254499,BUY,1578694,692005654.7,444.1,438.8833333
DABUR,364,355,357.1,362.4,367.7,358.7,353.4,349.7,-0.446055199,SKIP,1573999,566509619.7,358.1,357.7
HSCL,153.8,147.1,150.15,153.6,157.05,150.35,146.9,143.65,-0.133022946,SKIP,1521993,228637380.8,151.15,149.35
DELTACORP,276.7,269.35,273.35,276.9166667,280.4833333,273.1333333,269.5666667,265.7833333,0.079326336,SKIP,1514361,413730339.9,274.35,272.1333333
TVSMOTOR,662.7,644.4,648.95,659.6333333,670.3166667,652.0166667,641.3333333,633.7166667,-0.470335625,SKIP,1509499,986088536.5,649.95,651.0166667
CIPLA,602.9,590.55,599.95,605.05,610.15,597.8,592.7,585.45,0.359652058,SKIP,1503008,899380161.3,600.95,596.8
EQUITAS,151.7,144.85,150.8,153.3833333,155.9666667,149.1166667,146.5333333,142.2666667,1.128870012,BUY,1479791,220975605.8,151.8,148.1166667
BFINVEST,362,299.35,357.7,380.0166667,402.3333333,339.6833333,317.3666667,277.0333333,5.30395957,SKIP,1472893,495343861.5,358.7,338.6833333
