,RQ_1_2_PAT_PChg,RQ_1_2_Operating_Profit_PChg,RQ_1_2_Total_Exp_PChg,RQ_1_2_Ebit_PChg,RQ_1_2_Ebitda_PChg,RQ_1_2_Close_PChg,RQ_2_3_PAT_PChg,RQ_2_3_Operating_Profit_PChg,RQ_2_3_Total_Exp_PChg,RQ_2_3_Ebit_PChg,RQ_2_3_Ebitda_PChg,RQ_2_3_Close_PChg,RQ_3_4_PAT_PChg,RQ_3_4_Operating_Profit_PChg,RQ_3_4_Total_Exp_PChg,RQ_3_4_Ebit_PChg,RQ_3_4_Ebitda_PChg,RQ_3_4_Close_PChg,RQ_4_5_PAT_PChg,RQ_4_5_Operating_Profit_PChg,RQ_4_5_Total_Exp_PChg,RQ_4_5_Ebit_PChg,RQ_4_5_Ebitda_PChg,RQ_4_5_Close_PChg
MONNETISPA,89.3746848209783,-563.3440514469453,24.591368227731877,-49.022732101125975,-892.7570093457942,-57.304964539007095,12.274940550334055,-146.48729446935724,8.050006614631556,25.286132552568546,-126.69993761696821,17.5,-11.703244513323,-45.87378640776698,5.5505131606507145,22.178861788617887,-40.97938144329897,-15.014164305949002,-12.939589136490245,483.0188679245282,-16.700107592544132,-24.8533724340176,202.78706800445926,3.5190615835777
WELENT,-4.4617563739376696,5.7449962935507815,-10.263706541950754,-3.8359788359788407,-5.5634807417974255,18.818535550053056,-18.00232288037166,25.313516024152342,40.916309353660466,10.391822827938661,6.097297297297298,-19.687500000000004,32.97297297297297,147.1871412169919,84.31142982584518,40.095465393794775,35.590735854588104,22.990915443745642,22.458628841607567,-33.66336633663366,-29.265010351966872,-5.234248788368339,-7.61105092091008,29.67829632985954
VISAKAIND,99.73666886109281,48.97787734528144,30.63421170165252,82.75984391628238,63.83210684110112,-20.64620854912268,6.521739130434781,3.747821034282391,7.950436333831545,5.383177570093462,3.614798079638524,-1.0932721712538191,0.8486562942008431,3.3013205282112885,23.634954697186465,4.08560311284047,3.1459364986891885,10.110278642983408,-38.41463414634146,-28.681506849315067,-42.938775510204096,-34.538970962812016,-28.923395445134567,17.45105793948983
JSWSTEEL,4.608501118568233,-4.382312115804085,-3.507096069868996,-3.8062283737024223,-2.4824081313526194,13.413152871768188,98.49023090586144,41.14189756507137,13.788819875776394,52.26554267650158,41.48230088495576,6.80133432171978,33.25443786982248,22.07037922787837,7.074569789674952,29.174228675136124,21.505376344086017,8.593278325618845,101.67064439140812,33.16651501364877,3.350803333619727,45.57463672391018,32.50222617987533,22.14847590953785
TFL,-435.71428571428567,-598.2758620689656,38.167938931297705,-527.2727272727274,-642.5925925925926,0.0,47.3684210526316,61.11111111111111,-45.41666666666666,52.77777777777779,54.28571428571431,-100.0,-55.29411764705882,-57.14285714285714,-16.376306620209068,-57.14285714285714,-57.3170731707317,0.0,-150.89820359281438,-152.17391304347828,-54.51664025356576,-152.5,-150.93167701863354,-100.0
CERA,-32.99575302188826,-30.74960753532182,-20.82782204729491,-34.277562665579794,-33.11174991016889,-19.571161942792653,32.62564991334489,25.51724137931034,23.854237423582536,32.29981126988405,30.93389790637497,-7.310106211779858,-15.364869820315368,-11.93058568329718,0.2603958016184624,-13.904363974001846,-11.969351832677575,14.047994126913723,41.36858475894246,39.3170142036869,23.899339852087163,41.524310118265426,35.72231590781338,12.9552207864004
ALKALI,19.196428571428555,50.898203592814376,38.43758845174073,59.50617283950618,53.29341317365271,-30.343980343980352,3.703703703703707,10.35242290748898,11.662452591656125,11.263736263736256,8.913043478260875,0.0,54.28571428571431,35.11904761904763,6.891891891891887,34.317343173431745,25.340599455040866,-100.0,81.8181818181818,-7.182320441988957,-14.05342624854819,5.8593749999999964,-2.9100529100529067,-17.159763313609464
TANLA,-2688.2352941176473,12.333965844402284,2.913695598721404,-483.33333333333337,44.16058394160584,-24.19354838709677,-97.43589743589745,-33.91849529780565,7.436269977545912,-95.50561797752808,-31.62819713038053,29.58199356913182,-27.777777777777782,29.780309194467048,-5.244055068836058,210.46511627906975,28.24000000000001,-6.886227544910171,-171.10766847405108,-197.07740916271717,-4.167916041979003,-111.16158338741077,-198.7361769352291,-30.84886128364389
FAIRCHEM,-18.425760286225408,2.444703143189765,4.948573646419557,7.503410641200542,4.328018223234634,-1.656867985034738,35.02415458937199,-6.528835690968442,4.523326572008123,-8.375,-4.565217391304347,-25.487853444842692,-30.536912751677857,18.733850129198963,-0.724929520741038,-12.184412733260148,-10.505836575875488,29.95212834778109,61.08108108108107,-6.408706166868191,-4.610065309258559,27.769985974754555,24.30471584038694,-17.78534198489523
AHLWEST,180.87248322147647,-7.2938689217759105,-10.38732394366197,12.004405286343612,-7.498087222647286,-100.0,67.41573033707866,-3.665987780040728,-0.03519887363604915,-1.1969532100108753,-0.5327245053272472,0.0,-947.6190476190477,69.89619377162629,10.501750291715283,70.81784386617099,40.685224839400426,-100.0,-40.0,2.6642984014209654,-5.1991150442477885,10.245901639344263,4.591265397536397,-1.8551765409934136
KIOCL,-106.027306027306,207.32931726907623,3.697269257120489,-105.1954732510288,-97.3045370835426,-14.557823129251696,364.86068111455114,40.47954866008464,-9.162036008001774,228.1935846933033,148.56429463171034,-41.137213027229045,449.78723404255317,-72.0756203229618,-5.633861901166207,484.5394736842105,175.2577319587629,136.26616209397667,-61.85064935064935,-19.011164274322173,54.27129174216928,-59.30388219544846,-31.529411764705877,95.13846153846157
CORALFINAC,-49.88662131519275,-64.33566433566433,35.08771929824563,-49.11971830985915,-48.77622377622377,-45.28619528619529,27.82608695652173,34.588235294117645,-17.391304347826086,35.23809523809523,34.588235294117645,-24.76250791640279,0.8771929824561476,-0.2347417840375537,-21.590909090909093,-0.2375296912113964,-0.2347417840375537,-62.934272300469495,259.99999999999994,213.23529411764702,64.48598130841121,209.55882352941174,213.23529411764702,0.0
