SYMBOL,HIGH,LOW,CLOSE,R1,R2,PIVOT,S1,S2,%,>.6%,TOTTRDQTY,TOTTRDVAL,BUY,SELL
AISL,117.5,115.0,116.35,117.56666666666669,118.78333333333335,116.28333333333335,115.06666666666669,113.78333333333335,0.057331231188174285,SKIP,37200,4334820.0,117.35,115.28333333333335
AJMERA,251.9,243.5,244.8,249.9666666666667,255.13333333333335,246.73333333333335,241.5666666666667,238.33333333333334,-0.7835720075655244,SELL,37259,9218070.55,245.8,245.73333333333335
AKSHARCHEM,609.5,594.85,599.8,607.9166666666666,616.0333333333333,601.3833333333333,593.2666666666667,586.7333333333333,-0.26328187789264273,SKIP,5727,3450860.35,600.8,600.3833333333333
ALBERTDAVD,378.8,369.05,378.8,382.05,385.3,375.55,372.3,365.8,0.865397417121555,BUY,245,91144.55,379.8,374.55
ALICON,660.95,639.7,641.6,655.1333333333332,668.6666666666666,647.4166666666666,633.8833333333332,626.1666666666666,-0.8984425279958717,SELL,1772,1151838.7,642.6,646.4166666666666
ALKYLAMINE,666.05,641.1,647.3,661.8666666666667,676.4333333333333,651.4833333333333,636.9166666666667,626.5333333333334,-0.6421243828187051,SELL,2484,1609200.95,648.3,650.4833333333333
ALLCARGO,137.0,132.65,133.05,135.81666666666663,138.58333333333331,134.23333333333332,131.46666666666664,129.88333333333333,-0.8815495406009254,SELL,218150,29397965.55,134.05,133.23333333333332
ALLSEC,366.95,357.5,366.05,369.5,372.95,363.5,360.05,354.05,0.7015130674002782,BUY,3624,1311868.35,367.05,362.5
AMBUJACEM,236.25,228.75,229.45,234.2166666666667,238.98333333333335,231.48333333333335,226.7166666666667,223.98333333333335,-0.8783929728562286,SELL,2782140,643801493.15,230.45,230.48333333333335
AMRUTANJAN,279.0,275.95,277.1,278.75000000000006,280.40000000000003,277.35,275.70000000000005,274.3,-0.09013881377321073,SKIP,3535,978201.35,278.1,276.35
ANDHRSUGAR,423.45,407.1,410.85,420.5,430.15,413.8,404.15000000000003,397.45000000000005,-0.7129047849202486,SELL,36085,14944712.35,411.85,412.8
APCL,206.5,197.0,200.35,205.56666666666666,210.78333333333333,201.28333333333333,196.06666666666666,191.78333333333333,-0.46369131406806513,SKIP,6628,1338909.25,201.35,200.28333333333333
APCOTEXIND,572.65,554.0,568.1,575.8333333333333,583.5666666666666,564.9166666666666,557.1833333333333,546.2666666666667,0.5635049417318296,SKIP,22302,12534419.7,569.1,563.9166666666666
APEX,647.0,625.7,631.1,643.5,655.9,634.6,622.2,613.3000000000001,-0.5515285219035613,SKIP,125281,79612977.35,632.1,633.6
APLLTD,509.15,500.0,504.3,508.9666666666667,513.6333333333333,504.48333333333335,499.8166666666667,495.33333333333337,-0.03634081073045105,SKIP,13384,6763136.9,505.3,503.48333333333335
APOLLO,222.0,215.0,215.7,220.13333333333338,224.5666666666667,217.5666666666667,213.13333333333338,210.5666666666667,-0.8579745671824892,SELL,28301,6152009.2,216.7,216.5666666666667
APOLLOTYRE,296.45,288.2,289.1,294.3,299.5,291.25,286.05,283.0,-0.7381974248926961,SELL,2067280,602516984.8,290.1,290.25
APTECHT,276.9,267.0,273.85,278.16666666666663,282.4833333333333,272.5833333333333,268.26666666666665,262.68333333333334,0.4646896973402782,SKIP,441251,120352856.05,274.85,271.5833333333333
ARIES,203.7,195.1,200.3,204.29999999999993,208.29999999999995,199.69999999999996,195.69999999999993,191.09999999999997,0.30045067601404674,SKIP,15012,2972320.6,201.3,198.69999999999996
ARIHANTSUP,124.5,114.8,122.6,126.46666666666665,130.33333333333331,120.63333333333333,116.76666666666665,110.93333333333332,1.6302846090080152,SKIP,51485,6240827.0,123.6,119.63333333333333
ARMANFIN,431.4,409.0,421.5,432.26666666666677,443.03333333333336,420.6333333333334,409.8666666666668,398.2333333333334,0.20603851335286885,SKIP,1922,801848.5,422.5,419.6333333333334
ARROWGREEN,337.15,319.0,320.2,331.9,343.59999999999997,325.45,313.75,307.3,-1.6131510216623137,SKIP,11034,3604028.45,321.2,324.45
ARVIND,423.0,412.55,420.05,424.5166666666666,428.9833333333333,418.5333333333333,414.0666666666666,408.0833333333333,0.3623765530423802,SKIP,1258807,526434743.85,421.05,417.5333333333333
ARVSMART,194.0,184.1,185.7,191.76666666666662,197.83333333333331,187.9333333333333,181.86666666666662,178.0333333333333,-1.188364668322093,SELL,61426,11535750.65,186.7,186.9333333333333
ASAHIINDIA,386.0,375.05,380.75,386.1499999999999,391.54999999999995,380.59999999999997,375.19999999999993,369.65,0.039411455596435656,SKIP,84220,32108397.6,381.75,379.59999999999997
ASAHISONG,345.0,339.1,340.35,343.8666666666667,347.3833333333333,341.48333333333335,337.9666666666667,335.58333333333337,-0.3318854019229808,SKIP,1031,353546.9,341.35,340.48333333333335
ASHIANA,160.0,156.0,157.75,159.83333333333331,161.91666666666666,157.91666666666666,155.83333333333331,153.91666666666666,-0.10554089709761934,SKIP,30914,4884323.65,158.75,156.91666666666666
ASHOKA,284.95,279.3,281.55,284.56666666666666,287.5833333333333,281.93333333333334,278.9166666666667,276.28333333333336,-0.1359659493970179,SKIP,301800,84892191.2,282.55,280.93333333333334
