,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
1300,PURVA,EQ,151.1,153.0,148.4,149.1,148.45,150.25,154432,23225967.2,08-MAY-2018,2577,INE323I01011
1301,PUSHPREALM,SM,63.0,63.0,63.0,63.0,63.0,63.0,2000,126000.0,08-MAY-2018,1,INE728W01012
1302,PVP,EQ,5.0,5.2,4.7,5.05,5.1,4.95,212146,1063841.55,08-MAY-2018,258,INE362A01016
1303,PVR,EQ,1425.0,1435.55,1413.3,1424.3,1424.3,1434.65,84666,120457168.9,08-MAY-2018,3757,INE191H01014
1304,QGOLDHALF,EQ,1390.0,1390.95,1385.0,1385.9,1385.0,1390.0,66,91610.65,08-MAY-2018,27,INF082J01010
1305,QUESS,EQ,1189.0,1249.0,1189.0,1233.2,1237.2,1188.9,263174,322523538.55,08-MAY-2018,10661,INE615P01015
1306,QUICKHEAL,EQ,343.9,351.4,337.0,347.7,347.4,344.4,370896,127812422.6,08-MAY-2018,6264,INE306L01010
1307,QUINTEGRA,EQ,1.4,1.4,1.4,1.4,1.4,1.45,5000,7000.0,08-MAY-2018,2,INE033B01011
1308,RADAAN,EQ,2.1,2.2,2.1,2.2,2.2,2.1,1800,3810.0,08-MAY-2018,2,INE874F01027
1309,RADICO,EQ,405.7,419.5,405.0,415.35,414.5,403.5,1579692,653889938.5,08-MAY-2018,25863,INE944F01028
1310,RADIOCITY,EQ,369.9,375.0,362.45,364.65,364.5,369.8,6287,2312332.25,08-MAY-2018,213,INE919I01016
1311,RAIN,EQ,311.15,323.4,307.55,318.0,317.9,307.8,2379023,755320396.0,08-MAY-2018,39845,INE855B01025
1312,RAINBOWPAP,EQ,2.4,2.5,2.35,2.35,2.4,2.4,113791,272229.0,08-MAY-2018,79,INE028D01025
1313,RAJESHEXPO,EQ,661.5,673.0,640.6,648.25,647.9,663.8,222296,145591430.8,08-MAY-2018,7368,INE343B01030
1314,RAJOIL,BZ,2.35,2.35,2.25,2.25,2.25,2.35,25186,56777.5,08-MAY-2018,39,INE294G01018
1315,RAJRAYON,BE,0.25,0.3,0.25,0.25,0.25,0.3,56277,14995.05,08-MAY-2018,30,INE533D01024
1316,RAJSREESUG,EQ,32.0,32.9,30.6,30.95,31.0,32.4,29948,938677.85,08-MAY-2018,202,INE562B01019
1317,RAJTV,EQ,53.9,53.9,52.6,52.8,52.9,52.5,4015,212364.7,08-MAY-2018,57,INE952H01027
1318,RALLIS,EQ,221.8,221.8,217.3,217.7,218.6,219.55,69895,15306298.9,08-MAY-2018,1684,INE613A01020
1319,RAMANEWS,EQ,28.5,29.0,27.55,28.25,27.9,28.5,48730,1380783.15,08-MAY-2018,278,INE278B01020
1320,RAMASTEEL,EQ,170.5,185.15,168.5,185.0,184.5,176.35,33153,6050218.0,08-MAY-2018,131,INE230R01027
1321,RAMCOCEM,EQ,824.55,847.0,824.55,834.45,835.35,824.55,169283,141822112.4,08-MAY-2018,6151,INE331A01037
